feature,importance
category_encoded,0.5359372487699555
amount_std,0.15753078485804708
day_of_month,0.03675574938065798
days_since_first,0.03463147162428859
median_amount,0.03328679945724462
avg_amount,0.03302236344368909
avg_hour,0.030905861314018394
hour,0.02379871936498464
weekend_ratio,0.023243953158219182
location_encoded,0.021471083552113468
transaction_count,0.019946605467090806
payment_method_encoded,0.017297661471938133
month,0.015166331167296423
receiver_type_encoded,0.011885993877936454
is_weekend,0.005119373092519762
